Sample Name,Target Name,Ct,Concentration,Media
RV-2,N,17.52131081,2,Viral Supernatant
FTA-2-2,S,17.5476265,2,FTA Card
ACM-2-2,N,17.55246353,2,ACM
ACM-2-1,ORF1ab,17.58328438,2,ACM
RV-2,S,17.59135755,2,Viral Supernatant
FTA-2-3,S,17.59538078,2,FTA Card
Cotton-2-5,N,17.68560982,2,Cotton
ACM-2-5,S,17.7005806,2,ACM
Cotton-2-5,N,17.7198925,2,Cotton
ACM-2-2,S,17.77546501,2,ACM
FTA-2-1,ORF1ab,17.78687286,2,FTA Card
Cotton-2-5,S,17.82696152,2,Cotton
Flock-2-3,N,17.84435844,2,Flocked Swab
FTA-2-2,N,17.87192535,2,FTA Card
FTA-2-2,ORF1ab,17.90197182,2,FTA Card
Flock-2-1,N,17.91360855,2,Flocked Swab
Cotton-2-5,S,17.94538498,2,Cotton
Flock-2-3,S,17.9733696,2,Flocked Swab
Flock-2-1,S,18.01763344,2,Flocked Swab
FTA-2-2,S,18.0288353,2,FTA Card
FTA-2-3,S,18.12251663,2,FTA Card
Flock-2-1,N,18.12889671,2,Flocked Swab
Cotton-2-1,N,18.21689796,2,Cotton
FTA-2-3,ORF1ab,18.24127197,2,FTA Card
FTA-2-2,ORF1ab,18.2594738,2,FTA Card
Cotton-2-1,N,18.28898239,2,Cotton
Cotton-2-1,S,18.30149078,2,Cotton
Flock-2-1,S,18.30158043,2,Flocked Swab
Cotton-2-1,S,18.32954216,2,Cotton
ACM-2-5,ORF1ab,18.40406418,2,ACM
ACM-2-5,ORF1ab,18.46076775,2,ACM
Cotton-2-2,N,18.5137043,2,Cotton
Flock-2-3,ORF1ab,18.67846489,2,Flocked Swab
Cotton-2-5,ORF1ab,18.67967033,2,Cotton
RV-2,ORF1ab,18.68127427,2,Viral Supernatant
ACM-2-2,ORF1ab,18.68410301,2,ACM
RV-2,N,18.7580471,2,Viral Supernatant
Cotton-2-2,S,18.76322174,2,Cotton
Cotton-2-5,ORF1ab,18.8000927,2,Cotton
FTA-2-3,N,18.80906487,2,FTA Card
ACM-2-3,N,18.81506729,2,ACM
Cotton-2-1,ORF1ab,18.81582451,2,Cotton
Cotton-2-1,ORF1ab,18.8735466,2,Cotton
ACM-2-3,N,18.9015522,2,ACM
ACM-2-3,S,18.9395771,2,ACM
Flock-2-1,ORF1ab,19.01190376,2,Flocked Swab
Flock-2-1,ORF1ab,19.07091141,2,Flocked Swab
ACM-2-3,S,19.09464836,2,ACM
RV-2,ORF1ab,19.13521004,2,Viral Supernatant
Cotton-2-2,N,19.34547234,2,Cotton
RV-2,S,19.44937522,2,Viral Supernatant
Glass-2-1,N,19.51373482,2,Glass Fiber Filter
Cotton-2-2,S,19.55481339,2,Cotton
Flock-2-4,N,19.56663132,2,Flocked Swab
Glass-2-1,S,19.59726143,2,Glass Fiber Filter
ACM-2-2,N,19.67280769,2,ACM
Flock-2-4,S,19.69833755,2,Flocked Swab
ACM-2-2,S,19.78776741,2,ACM
ACM-2-3,ORF1ab,19.80683136,2,ACM
Cotton-2-2,ORF1ab,19.87504387,2,Cotton
Cotton-2-2,ORF1ab,20.00464821,2,Cotton
ACM-2-3,ORF1ab,20.0093174,2,ACM
Glass-2-1,ORF1ab,20.1121769,2,Glass Fiber Filter
Glass-2-1,N,20.156353,2,Glass Fiber Filter
Flock-2-3,N,20.16930389,2,Flocked Swab
ACM-2-2,ORF1ab,20.17448235,2,ACM
Flock-2-3,S,20.24199295,2,Flocked Swab
Flock-2-4,S,20.25555992,2,Flocked Swab
Glass-2-1,S,20.25995445,2,Glass Fiber Filter
Flock-2-4,ORF1ab,20.366436,2,Flocked Swab
Flock-2-4,N,20.37094688,2,Flocked Swab
Flock-2-3,ORF1ab,20.47330856,2,Flocked Swab
Flock-2-4,ORF1ab,20.69833374,2,Flocked Swab
Glass-2-1,ORF1ab,20.70531273,2,Glass Fiber Filter
